epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7187,1.94956,2.07328,1.49391,0.77723,0.41729,0.53379,0.29697,1.74945,2.16772,1.46098,0.000656716,0.000656716,0.000656716
2,18.233,1.3731,1.16655,1.11531,0.82439,0.84739,0.88835,0.58077,1.1947,0.95499,1.03459,0.00131028,0.00131028,0.00131028
3,25.7974,1.26905,1.00285,1.0655,0.85638,0.85273,0.92679,0.62565,1.15671,0.86211,1.03743,0.00195065,0.00195065,0.00195065
4,33.1116,1.21718,0.91593,1.03272,0.8086,0.88581,0.89147,0.61235,1.10961,0.91772,0.99768,0.0019406,0.0019406,0.0019406
5,40.4869,1.19566,0.87094,1.02662,0.82286,0.86873,0.91927,0.62139,1.12974,0.8193,1.01671,0.0019208,0.0019208,0.0019208
6,48.0991,1.14487,0.78487,1.00779,0.84873,0.91782,0.94839,0.66334,1.09856,0.75632,0.9989,0.001901,0.001901,0.001901
7,55.6514,1.13041,0.75937,1.00712,0.87189,0.8826,0.94187,0.65228,1.07662,0.70911,1.00085,0.0018812,0.0018812,0.0018812
8,62.9503,1.13688,0.74997,1.01032,0.87182,0.90732,0.9405,0.67047,1.04641,0.66403,0.98786,0.0018614,0.0018614,0.0018614
9,70.3796,1.11978,0.72727,0.9983,0.86545,0.9267,0.94978,0.68186,1.04278,0.65406,0.9851,0.0018416,0.0018416,0.0018416
10,78.003,1.10882,0.7068,0.99798,0.8656,0.90395,0.93639,0.64629,1.0575,0.69843,0.98421,0.0018218,0.0018218,0.0018218
11,85.4393,1.08653,0.69907,0.98747,0.84658,0.91035,0.93725,0.64418,1.08259,0.76858,0.99228,0.001802,0.001802,0.001802
12,92.7035,1.10021,0.6883,0.99098,0.9021,0.873,0.94889,0.6714,1.03739,0.62734,0.97689,0.0017822,0.0017822,0.0017822
13,99.9678,1.06838,0.6708,0.97621,0.90023,0.92446,0.96664,0.6981,1.02785,0.6089,0.9718,0.0017624,0.0017624,0.0017624
14,107.438,1.07456,0.66788,0.97616,0.88386,0.90822,0.96048,0.6887,1.05103,0.61721,0.98133,0.0017426,0.0017426,0.0017426
15,114.751,1.07626,0.6388,0.9895,0.88682,0.92822,0.96218,0.68563,1.08246,0.59985,0.98976,0.0017228,0.0017228,0.0017228
16,122.037,1.06952,0.63139,0.9842,0.91836,0.89968,0.96448,0.70087,1.03154,0.57652,0.9725,0.001703,0.001703,0.001703
17,129.44,1.05574,0.62023,0.97274,0.8805,0.92636,0.96168,0.70666,1.01453,0.57608,0.96848,0.0016832,0.0016832,0.0016832
18,136.777,1.04879,0.62378,0.97532,0.8991,0.92243,0.95632,0.70013,1.01877,0.57913,0.96982,0.0016634,0.0016634,0.0016634
19,144.165,1.06216,0.61051,0.97474,0.89139,0.93276,0.96228,0.69473,1.04282,0.56897,0.9713,0.0016436,0.0016436,0.0016436
20,151.426,1.02528,0.59408,0.96664,0.89395,0.91462,0.96499,0.70171,1.02048,0.58573,0.96717,0.0016238,0.0016238,0.0016238
21,158.856,1.03456,0.59938,0.9625,0.90632,0.89833,0.96655,0.69625,1.01716,0.62253,0.96827,0.001604,0.001604,0.001604
22,166.18,1.04728,0.60738,0.96328,0.90958,0.91259,0.96133,0.71195,0.99138,0.54506,0.96005,0.0015842,0.0015842,0.0015842
23,173.739,1.01815,0.58399,0.95315,0.89408,0.90988,0.9579,0.70348,1.01045,0.58682,0.97352,0.0015644,0.0015644,0.0015644
24,181.031,1.02587,0.59121,0.96159,0.90514,0.89612,0.96168,0.70075,1.01671,0.56746,0.96634,0.0015446,0.0015446,0.0015446
25,188.345,1.02363,0.57632,0.96609,0.91306,0.9191,0.97442,0.7145,0.99168,0.55203,0.96666,0.0015248,0.0015248,0.0015248
26,195.702,1.02599,0.57862,0.96201,0.90073,0.92636,0.96689,0.71551,0.96931,0.55901,0.95695,0.001505,0.001505,0.001505
27,203.147,1.01619,0.57668,0.96465,0.91398,0.91249,0.97064,0.70874,1.00239,0.53747,0.96507,0.0014852,0.0014852,0.0014852
28,210.594,1.00491,0.56954,0.95183,0.90255,0.91922,0.96828,0.69889,1.00025,0.55824,0.96702,0.0014654,0.0014654,0.0014654
29,217.967,1.01819,0.57809,0.96084,0.89273,0.93383,0.97081,0.71627,0.99962,0.56081,0.96216,0.0014456,0.0014456,0.0014456
30,225.388,0.9987,0.57775,0.9542,0.89641,0.92529,0.96151,0.71282,0.99559,0.54625,0.95648,0.0014258,0.0014258,0.0014258
31,232.752,1.00286,0.55996,0.9532,0.90618,0.90712,0.96453,0.71964,0.98385,0.54838,0.95647,0.001406,0.001406,0.001406
32,240.284,0.9938,0.5586,0.95369,0.89849,0.92529,0.96601,0.71723,0.99006,0.53414,0.95889,0.0013862,0.0013862,0.0013862
33,247.621,0.98622,0.55251,0.95201,0.91226,0.92529,0.97377,0.72027,1.0009,0.52903,0.96313,0.0013664,0.0013664,0.0013664
34,254.951,0.97528,0.54086,0.94656,0.91428,0.94476,0.97525,0.71674,0.98796,0.52698,0.95567,0.0013466,0.0013466,0.0013466
35,262.331,0.97111,0.53972,0.93718,0.89565,0.9252,0.96526,0.71507,0.97578,0.54293,0.95494,0.0013268,0.0013268,0.0013268
36,269.837,0.98956,0.56816,0.9488,0.91227,0.91005,0.96388,0.71484,0.99274,0.5345,0.96425,0.001307,0.001307,0.001307
37,277.189,0.98089,0.55077,0.94661,0.89291,0.93437,0.96579,0.7124,0.97886,0.53733,0.95599,0.0012872,0.0012872,0.0012872
38,284.577,0.97538,0.53787,0.94339,0.90468,0.93192,0.97237,0.71986,0.99713,0.52251,0.95819,0.0012674,0.0012674,0.0012674
